ad_id,campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR (%),CPC ($)
708746,916,30-34,M,15,17,17,7350.0,1,1.429999948,2.0,1.0,0.013605442176870748,1.429999948
708749,916,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0,0.011197581322434353,0.9100000115
708771,916,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0,0.0,0.0
708815,916,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0,0.023479690068091103,1.25
708818,916,30-34,M,28,33,32,4133.0,1,1.289999962,1.0,1.0,0.024195499637067505,1.289999962
708820,916,30-34,M,29,30,30,1915.0,0,0.0,1.0,1.0,0.0,0.0
708889,916,30-34,M,15,16,17,15615.0,3,4.769999981,1.0,0.0,0.01921229586935639,1.5899999936666667
708895,916,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0,0.009131586156515388,1.269999981
708953,916,30-34,M,27,31,31,2355.0,1,1.5,1.0,0.0,0.042462845010615716,1.5
708958,916,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0,0.03157230056830141,1.0533333223333334
708979,916,30-34,M,31,37,34,1224.0,0,0.0,1.0,0.0,0.0,0.0
709023,916,30-34,M,7,8,8,735.0,0,0.0,1.0,0.0,0.0,0.0
709038,916,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0,0.0,0.0
709040,916,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0,0.0,0.0
709059,916,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0,0.0477196809598473,1.4685714585714287
709105,916,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0,0.0,0.0
709115,916,30-34,M,30,34,31,2305.0,1,0.569999993,1.0,0.0,0.04338394793926247,0.569999993
709124,916,30-34,M,31,34,33,1024.0,0,0.0,1.0,1.0,0.0,0.0
709179,916,35-39,M,15,16,17,4627.0,1,1.690000057,1.0,0.0,0.02161227577263886,1.690000057
709183,916,35-39,M,16,20,22,21026.0,4,4.630000114,2.0,1.0,0.019024065442785124,1.1575000285
709320,916,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0,0.0,0.0
709323,916,35-39,M,15,17,19,7132.0,2,2.609999895,1.0,0.0,0.028042624789680313,1.3049999475
709326,916,35-39,M,16,22,22,12190.0,2,3.049999952,1.0,0.0,0.016406890894175553,1.524999976
709327,916,35-39,M,16,22,20,12193.0,2,3.059999943,1.0,1.0,0.01640285409661281,1.5299999715
709328,916,35-39,M,16,19,18,3332.0,0,0.0,1.0,1.0,0.0,0.0
709455,916,35-39,M,7,12,10,559.0,0,0.0,1.0,0.0,0.0,0.0
709544,916,35-39,M,29,33,32,7440.0,2,2.980000019,1.0,1.0,0.026881720430107527,1.4900000095
709614,916,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0,0.020928164076806362,1.380000025
709756,916,40-44,M,16,21,21,10976.0,2,1.690000057,1.0,1.0,0.018221574344023325,0.8450000285
